"","score","protein1","protein2"
"73168",0.975,"H2AC17","H2BC6"
"73169",0.936,"H2AC17","UBA52"
"73170",0.985,"H2AC17","H2BC10"
"73171",0.958,"H2AC17","H4-16"
"73172",0.918,"CHD1L","H2AC17"
"73173",0.967,"H2AC17","H4C9"
"73174",0.931,"H2AC17","UBB"
"73175",0.973,"H2AC17","H4C2"
"73176",0.91,"H2AC17","KMT2A"
"73177",0.956,"H2AC17","H4C15"
"73178",0.963,"H2AC17","H4C3"
"73179",0.974,"H2AC17","H4C4"
"73180",0.924,"H2AC16","H2AC17"
"73181",0.995,"H2AC17","H2BC21"
"73182",0.978,"H2AC17","H4C14"
"73183",0.928,"H2AC17","UBC"
"73184",0.975,"H2AC17","H3C14"
"73185",0.961,"H2AC17","H4C1"
"73186",0.911,"H2AC17","KMT5A"
"73187",0.964,"H2AC17","H4C13"
"73188",0.958,"H2AC17","H4C12"
"73189",0.949,"H2AC17","H3C15"
"73190",0.915,"TYW1","TYW3"
"73191",0.923,"ELF3","MED23"
"73192",0.99,"UBC","ZRANB1"
"73193",0.914,"UBA52","ZRANB1"
"73194",0.984,"TRAF6","ZRANB1"
"73195",0.916,"UBB","ZRANB1"
"73196",0.907,"EXOSC2","SUPV3L1"
"73197",0.945,"SEM1","SUPV3L1"
"73198",0.903,"EXOSC1","SUPV3L1"
"73199",0.915,"EXOSC10","SUPV3L1"
"73200",0.901,"EXOSC9","SUPV3L1"
"73201",0.999,"PNPT1","SUPV3L1"
"73202",0.977,"DIS3","SUPV3L1"
"73203",0.901,"EXOSC6","SUPV3L1"
"73204",0.908,"EXOSC8","SUPV3L1"
"73205",0.965,"DAP3","HIBCH"
"73206",0.914,"HIBCH","METTL17"
"73207",0.91,"HIBCH","RPS9"
"73208",0.984,"ECHS1","HIBCH"
"73209",0.941,"HIBCH","MRPL22"
"73210",0.942,"HIBCH","MRPL41"
"73211",0.953,"HIBCH","MRPL19"
"73212",0.95,"HIBCH","MRPL23"
"73213",0.964,"HIBCH","MRPS15"
"73214",0.942,"HIBCH","MRPL47"
"73215",0.945,"HIBCH","MRPS14"
"73216",0.951,"HIBCH","MRPL36"
"73217",0.944,"HIBCH","MRPS6"
"73218",0.952,"HADHA","HIBCH"
"73219",0.944,"HIBCH","MRPS12"
"73220",0.927,"HIBCH","RPS18"
"73221",0.954,"HIBCH","MRPS16"
"73222",0.922,"HIBCH","RPL23"
"73223",0.996,"G3BP2","USP10"
"73224",0.987,"G3BP1","G3BP2"
"73225",0.904,"COL15A1","COL18A1"
"73226",0.92,"COL18A1","MMP9"
"73227",0.959,"COL18A1","DR1"
"73228",0.968,"HLA-DRB1","PTPN22"
"73229",0.957,"PSTPIP1","PTPN22"
"73230",0.91,"CD8A","PTPN22"
"73231",0.924,"LCK","PTPN22"
"73232",0.968,"MB","MT-CYB"
"73233",0.984,"INS","MB"
"73234",0.93,"MB","RNASE1"
"73235",0.954,"PLXNA1","PLXNA4"
"73236",0.993,"NRP2","PLXNA4"
"73237",0.943,"RXRA","RXRG"
"73238",0.951,"NR1H2","RXRG"
"73239",0.959,"RARG","RXRG"
"73240",0.961,"NR1H3","RXRG"
"73241",0.938,"RXRB","RXRG"
"73242",0.986,"NCOA2","RXRG"
"73243",0.947,"NT5C1B","NT5C3A"
"73244",0.915,"NT5C1B","PNP"
"73245",0.928,"ITPA","NT5C1B"
"73246",0.901,"GMPS","NT5C1B"
"73247",0.912,"ADSS2","NT5C1B"
"73248",0.919,"ADK","NT5C1B"
"73249",0.91,"NAPRT","NT5C1B"
"73250",0.911,"NT5C1B","TYMP"
"73251",0.914,"APRT","NT5C1B"
"73252",0.913,"AK3","NT5C1B"
"73253",0.925,"ADSL","NT5C1B"
"73254",0.919,"GUK1","NT5C1B"
"73255",0.903,"NT5C1B","UPRT"
"73256",0.909,"ADA","NT5C1B"
"73257",0.901,"NT5C1B","QPRT"
"73258",0.958,"NT5C1B","NT5C3B"
"73259",0.961,"NT5C1B","NT5M"
"73260",0.912,"DUT","NT5C1B"
"73261",0.907,"CDA","NT5C1B"
"73262",0.905,"NT5C1B","UPP2"
"73263",0.999,"TAF9","TRRAP"
"73264",0.998,"TADA2A","TRRAP"
"73265",0.999,"TAF6","TRRAP"
"73266",0.959,"MBTD1","TRRAP"
"73267",0.999,"RUVBL2","TRRAP"
"73268",0.997,"MORF4L2","TRRAP"
"73269",0.999,"DMAP1","TRRAP"
"73270",0.953,"ANP32E","TRRAP"
"73271",0.999,"ACTL6A","TRRAP"
"73272",0.903,"TFPT","TRRAP"
"73273",0.953,"TAF2","TRRAP"
"73274",0.909,"NFRKB","TRRAP"
"73275",0.906,"INO80C","TRRAP"
"73276",0.961,"INO80","TRRAP"
"73277",0.901,"INO80E","TRRAP"
"73278",0.905,"MSL1","TRRAP"
"73279",0.998,"ENY2","TRRAP"
"73280",0.999,"MRGBP","TRRAP"
"73281",0.999,"MYC","TRRAP"
"73282",0.999,"SUPT20H","TRRAP"
"73283",0.96,"ACTB","TRRAP"
"73284",0.999,"MEAF6","TRRAP"
"73285",0.999,"SUPT3H","TRRAP"
"73286",0.999,"TADA1","TRRAP"
"73287",0.964,"CTNNB1","TRRAP"
"73288",0.967,"KAT8","TRRAP"
"73289",0.996,"TAF5","TRRAP"
"73290",0.962,"SF3B5","TRRAP"
"73291",0.929,"ATXN7L2","TRRAP"
"73292",0.999,"EP400","TRRAP"
"73293",0.998,"ATXN7L3","TRRAP"
"73294",0.991,"TEAD4","VGLL4"
"73295",0.985,"TEAD4","VGLL1"
"73296",0.901,"FAM181B","TEAD4"
"73297",0.999,"TEAD4","YAP1"
"73298",0.912,"TEAD2","TEAD4"
"73299",0.922,"TEAD1","TEAD4"
"73300",0.998,"TEAD4","WWTR1"
"73301",0.941,"DCAF7","DDA1"
"73302",0.928,"DCAF6","DDA1"
"73303",0.957,"DCAF17","DDA1"
"73304",0.915,"DCAF10","DDA1"
"73305",0.999,"CUL4A","DDA1"
"73306",0.987,"AMBRA1","DDA1"
"73307",0.995,"DCAF1","DDA1"
"73308",0.96,"COP1","DDA1"
"73309",0.953,"DCAF8","DDA1"
"73310",0.996,"CUL4B","DDA1"
"73311",0.999,"DDA1","DET1"
"73312",0.951,"DDA1","DTL"
"73313",0.913,"DCAF12","DDA1"
"73314",0.967,"DCAF11","DDA1"
"73315",0.924,"DCAF16","DDA1"
"73316",0.928,"FLG","SPINK5"
"73317",0.903,"KLK7","SPINK5"
"73318",0.99,"ATG2B","ULK2"
"73319",0.959,"ATG2A","ATG2B"
"73320",0.927,"CLEC14A","MMRN2"
"73321",0.928,"CLEC14A","RNGTT"
"73322",0.941,"PTPN1","PTPRF"
"73323",0.913,"IRS4","PTPRF"
"73324",0.982,"LRRC4B","PTPRF"
"73325",0.922,"PTPN11","PTPRF"
"73326",0.915,"IRS2","PTPRF"
"73327",0.982,"CTNNB1","PTPRF"
"73328",0.921,"GRIN1","P2RX4"
"73329",0.993,"P2RX4","P2RX6"
"73330",0.986,"CCT4","CCT8L2"
"73331",0.917,"CCT8L2","ERMARD"
"73332",0.918,"ATP2A2","ATP2A3"
"73333",0.922,"ATP2A3","SLN"
"73334",0.998,"MCM3","MCMBP"
"73335",0.999,"HLA-DMA","HLA-DRB1"
"73336",0.906,"HLA-DRB1","MLANA"
"73337",0.943,"HLA-DPB1","HLA-DRB1"
"73338",0.932,"HLA-DRB1","VIM"
"73339",0.902,"HLA-DRB1","TPBG"
"73340",0.955,"HLA-DQA2","HLA-DRB1"
"73341",0.901,"H2BC13","HLA-DRB1"
"73342",0.963,"HLA-B","HLA-DRB1"
"73343",0.967,"HLA-C","HLA-DRB1"
"73344",0.999,"HLA-DRA","HLA-DRB1"
"73345",0.942,"HLA-A","HLA-DRB1"
"73346",0.942,"ENO1","HLA-DRB1"
"73347",0.901,"H2BU1","HLA-DRB1"
"73348",0.997,"HLA-DMB","HLA-DRB1"
"73349",0.939,"HLA-DRB1","HLA-E"
"73350",0.979,"HLA-DPA1","HLA-DRB1"
"73351",0.944,"HLA-DOB","HLA-DRB1"
"73352",0.955,"HLA-DRB1","HLA-DRB5"
"73353",0.953,"DHDDS","PDSS2"
"73354",0.965,"DHDDS","PDSS1"
"73355",0.998,"DHDDS","NUS1"
"73356",0.949,"AHNAK2","S100A10"
"73357",0.944,"AHNAK","AHNAK2"
"73358",0.964,"TKT","TPK1"
"73359",0.902,"ALPP","TPK1"
"73360",0.909,"AK2","TPK1"
"73361",0.908,"AK4","TPK1"
"73362",0.917,"NTPCR","TPK1"
"73363",0.901,"ALPL","TPK1"
"73364",0.943,"TKTL1","TPK1"
"73365",0.903,"CCK","PYY"
"73366",0.997,"NPY5R","PYY"
"73367",0.986,"NPY4R","PYY"
"73368",0.999,"NPY1R","PYY"
"73369",0.956,"GCG","PYY"
"73370",0.98,"NPY","PYY"
"73371",0.974,"PPY","PYY"
"73372",0.95,"POMC","PYY"
"73373",0.959,"NPY4R2","PYY"
"73374",0.925,"LCE1B","LCE2C"
"73375",0.988,"LCE1B","LCE1C"
"73376",0.968,"LCE1B","LCE2B"
"73377",0.987,"LCE1B","LCE1E"
"73378",0.906,"LCE1B","LCE2A"
"73379",0.904,"C17orf97","CDX2"
"73380",0.974,"MAK16","SURF6"
"73381",0.992,"MAK16","RSL1D1"
"73382",0.989,"BOP1","MAK16"
"73383",0.943,"MAK16","RPL18"
"73384",0.993,"MAK16","NSA2"
"73385",0.99,"MAK16","MRTO4"
"73386",0.953,"MAK16","RPL7A"
"73387",0.953,"MAK16","RPL6"
"73388",0.909,"MAK16","RPL23A"
"73389",0.949,"EIF6","MAK16"
"73390",0.999,"EBNA1BP2","MAK16"
"73391",0.945,"GNL2","MAK16"
"73392",0.903,"DDX27","MAK16"
"73393",0.918,"MAK16","RPL30"
"73394",0.966,"MAK16","PUM3"
"73395",0.983,"MAK16","RRP1"
"73396",0.972,"MAK16","RRP15"
"73397",0.954,"MAK16","NOP2"
"73398",0.976,"GNL3","MAK16"
"73399",0.98,"MAK16","RPF2"
"73400",0.954,"GNL3L","MAK16"
"73401",0.998,"MAK16","RPF1"
"73402",0.911,"MAK16","NOL10"
"73403",0.917,"MAK16","NSUN6"
"73404",0.909,"MAK16","RPL31"
"73405",0.949,"LTV1","MAK16"
"73406",0.975,"MAK16","RPL32"
"73407",0.917,"MAK16","UTP11"
"73408",0.997,"MAK16","WDR74"
"73409",0.997,"MAK16","NOC3L"
"73410",0.997,"GTPBP4","MAK16"
"73411",0.997,"FTSJ3","MAK16"
"73412",0.916,"MAK16","RBM34"
"73413",0.999,"DDX3Y","UTY"
"73414",0.923,"DDX3Y","PRKY"
"73415",0.999,"DDX3Y","EIF1AY"
"73416",0.911,"DDX3Y","RPS4Y2"
"73417",0.925,"SCN1B","SCNN1A"
"73418",0.914,"SCN4A","SCNN1A"
"73419",0.972,"NEDD4","SCNN1A"
"73420",0.998,"NEDD4L","SCNN1A"
"73421",0.984,"KIRREL2","NPHS1"
"73422",0.926,"KIRREL2","NPHS2"
"73423",0.979,"MMS19","RTEL1"
"73424",0.958,"ETS1","ETS2"
"73425",0.958,"ETS2","ID1"
"73426",0.997,"F10","F8"
"73427",0.97,"F8","MCFD2"
"73428",0.906,"F8","SERPINC1"
"73429",0.901,"F8","PROS1"
"73430",0.969,"F7","F8"
"73431",0.95,"ADAMTS13","F8"
"73432",0.966,"F11","F8"
"73433",0.901,"ICAM2","MSN"
"73434",0.959,"ACTG1","MSN"
"73435",0.999,"MSN","RDX"
"73436",0.908,"MSN","SLC9A3R2"
"73437",0.97,"MSN","SPN"
"73438",0.975,"ACTB","MSN"
"73439",0.996,"CD44","MSN"
"73440",0.927,"ATP2B2","PRKACB"
"73441",0.923,"ATP2B2","PRKACG"
"73442",0.911,"ATP2B2","PRKG1"
"73443",0.954,"VPS13A","XK"
"73444",0.966,"RAB5B","RAB5C"
"73445",0.904,"GDI1","RAB5B"
"73446",0.907,"MYLK","PRKACB"
"73447",0.933,"MYL3","MYLK"
"73448",0.947,"MYH11","MYLK"
"73449",0.939,"MYL6","MYLK"
"73450",0.946,"MYL12B","MYLK"
"73451",0.992,"CALM1","MYLK"
"73452",0.997,"CALML4","MYLK"
"73453",0.905,"MYLK","PRKACG"
"73454",0.998,"CALML5","MYLK"
"73455",0.935,"CALM2","MYLK"
"73456",0.972,"MYL12A","MYLK"
"73457",0.909,"MYL6B","MYLK"
"73458",0.966,"CLDN7","TACSTD2"
"73459",0.99,"CLDN7","TJP3"
"73460",0.902,"CLDN7","PATJ"
"73461",0.953,"CLDN4","CLDN7"
"73462",0.982,"CLDN7","F11R"
"73463",0.914,"CLDN7","TSPAN8"
"73464",0.995,"CLDN7","TJP2"
"73465",0.955,"LZTS3","SHANK3"
"73466",0.95,"LZTS3","SIPA1L1"
"73467",0.943,"PARP9","STAT1"
"73468",0.931,"IFI44L","PARP9"
"73469",0.925,"IFIT3","PARP9"
"73470",0.929,"IFI44","PARP9"
"73471",0.942,"PARP14","PARP9"
"73472",0.999,"EIF2B3","EIF2S2"
"73473",0.999,"EIF2B1","EIF2B3"
"73474",0.999,"EIF2B3","EIF2B4"
"73475",0.999,"EIF2B3","EIF2B5"
"73476",0.963,"NRCAM","NRP2"
"73477",0.968,"NRP2","PGF"
"73478",0.997,"NRP2","PLXNA1"
"73479",0.974,"NRP2","SEMA3B"
"73480",0.953,"NRP2","PLXNA2"
"73481",0.996,"NRP2","VEGFC"
"73482",0.996,"NRP2","PLXNA3"
"73483",0.98,"MYH10","MYL6B"
"73484",0.983,"MYH10","MYL12A"
"73485",0.959,"ACTG1","MYH10"
"73486",0.915,"MYH10","MYH14"
"73487",0.941,"ACTG2","MYH10"
"73488",0.987,"MYH10","MYL12B"
"73489",0.915,"MYH10","MYH13"
"73490",0.957,"ACTB","MYH10"
"73491",0.997,"MYH10","MYL6"
"73492",0.938,"MYH10","MYH11"
"73493",0.913,"MYH10","MYH8"
"73494",0.908,"MYH10","MYL3"
"73495",0.914,"MYH10","MYH6"
"73496",0.915,"MYH10","MYH2"
"73497",0.942,"SULT1A3","SULT1A4"
"73498",0.994,"SULT1A1","SULT1A4"
"73499",0.983,"SULT1A2","SULT1A4"
"73500",0.974,"DSC3","JUP"
"73501",0.946,"DSC3","DSP"
"73502",0.999,"COL4A1","COL4A2"
"73503",0.909,"COL4A2","COL5A2"
"73504",0.925,"CD44","COL4A2"
"73505",0.933,"CES1","CYP2E1"
"73506",0.915,"CES1","NAT1"
"73507",0.916,"CDA","CES1"
"73508",0.943,"CES1","CES2"
"73509",0.958,"CES1","CYP3A4"
"73510",0.946,"DPP4","XPNPEP2"
"73511",0.99,"DPP4","PTPRC"
"73512",0.999,"ACE2","DPP4"
"73513",0.967,"DPP4","ITGB1"
"73514",0.967,"DPP4","PRCP"
"73515",0.965,"DPP4","GLP1R"
"73516",0.962,"DPP4","MME"
"73517",0.941,"DPP4","PREP"
"73518",0.906,"DPP4","INS"
"73519",0.985,"CXCR4","DPP4"
"73520",0.987,"DPP4","GCG"
"73521",0.999,"ADA","DPP4"
"73522",0.92,"CLIP3","CYLD"
"73523",0.939,"TOP1","TOPORS"
"73524",0.943,"ETF1","RPL7A"
"73525",0.924,"ETF1","RPS10"
"73526",0.91,"ETF1","RPL36"
"73527",0.949,"ETF1","RPL6"
"73528",0.991,"ETF1","UPF1"
"73529",0.945,"ETF1","RPL9"
"73530",0.935,"ETF1","RPL18"
"73531",0.937,"ETF1","RPL11"
"73532",0.929,"ETF1","RPS24"
"73533",0.923,"ETF1","RPL10"
"73534",0.938,"ETF1","RPS18"
"73535",0.938,"ETF1","RPL34"
"73536",0.938,"ETF1","RPL5"
"73537",0.942,"ETF1","RPS16"
"73538",0.971,"ETF1","RPSA"
"73539",0.919,"ETF1","RACK1"
"73540",0.931,"ETF1","RPS19"
"73541",0.922,"ETF1","RPL23"
"73542",0.934,"ETF1","RPS28"
"73543",0.913,"ETF1","RPL26L1"
"73544",0.93,"ETF1","RPS5"
"73545",0.945,"ETF1","RPS4X"
"73546",0.946,"ETF1","RPS7"
"73547",0.908,"ETF1","RPS17"
"73548",0.939,"ETF1","RPL30"
"73549",0.94,"ETF1","RPL26"
"73550",0.94,"ETF1","RPS6"
"73551",0.917,"ETF1","RPL37A"
"73552",0.908,"ETF1","RPL24"
"73553",0.923,"ETF1","RPS15"
"73554",0.956,"ETF1","RPS8"
"73555",0.921,"ETF1","RPL17"
"73556",0.999,"ETF1","SMG1"
"73557",0.923,"ETF1","RPL23A"
"73558",0.965,"ETF1","RPS20"
"73559",0.923,"ETF1","RPL10A"
"73560",0.919,"ETF1","RPS25"
"73561",0.945,"ETF1","RPL35A"
"73562",0.952,"ETF1","RPL31"
"73563",0.913,"ETF1","RPS27"
"73564",0.943,"ETF1","RPL28"
"73565",0.915,"ETF1","RPS29"
"73566",0.945,"ETF1","RPL14"
"73567",0.973,"ETF1","SMG8"
"73568",0.916,"ETF1","RPL39"
"73569",0.93,"ETF1","RPL13A"
"73570",0.943,"ETF1","RPS9"
"73571",0.923,"ETF1","RPS14"
"73572",0.981,"ETF1","RPL12"
"73573",0.959,"ETF1","RPS13"
"73574",0.953,"ETF1","RPLP0"
"73575",0.916,"ETF1","RPL32"
"73576",0.952,"ETF1","RPL27"
"73577",0.94,"ETF1","RPL36A"
"73578",0.999,"ETF1","GSPT1"
"73579",0.959,"ETF1","FAU"
"73580",0.914,"ETF1","HBS1L"
"73581",0.903,"GNAI1","MMP17"
"73582",0.903,"GNAI3","MMP17"
"73583",0.914,"ENTPD1","RRM2"
"73584",0.935,"KIF20A","RRM2"
"73585",0.939,"CCNA2","RRM2"
"73586",0.942,"RRM2","ZWINT"
"73587",0.915,"ENTPD6","RRM2"
"73588",0.914,"RRM2","TK1"
"73589",0.919,"HDDC3","RRM2"
"73590",0.973,"CDK1","RRM2"
"73591",0.951,"NUSAP1","RRM2"
"73592",0.931,"RAVER1","RRM2"
"73593",0.945,"MKI67","RRM2"
"73594",0.93,"PBK","RRM2"
"73595",0.945,"CEP55","RRM2"
"73596",0.939,"AK9","RRM2"
"73597",0.928,"AK3","RRM2"
"73598",0.914,"ENTPD8","RRM2"
"73599",0.956,"RRM2","TOP2A"
"73600",0.932,"GUK1","RRM2"
"73601",0.927,"KIF4A","RRM2"
"73602",0.907,"CDC20","RRM2"
"73603",0.902,"CAPZA2","TPPP"
"73604",0.923,"SNCA","TPPP"
"73605",0.959,"DCTN1","TPPP"
"73606",0.968,"DCTN2","TPPP"
"73607",0.998,"POLA1","WDHD1"
"73608",0.998,"GINS3","WDHD1"
"73609",0.999,"CDC45","WDHD1"
"73610",0.999,"MCM3","WDHD1"
"73611",0.947,"DTL","WDHD1"
"73612",0.935,"EXO1","WDHD1"
"73613",0.935,"PRIM2","WDHD1"
"73614",0.976,"MRC1","WDHD1"
"73615",0.916,"DDX11","WDHD1"
"73616",0.999,"TIMELESS","WDHD1"
"73617",0.998,"MCM10","WDHD1"
"73618",0.991,"CCM2","ITGB1BP1"
"73619",0.999,"ITGB1BP1","KRIT1"
"73620",0.998,"ITGB1","ITGB1BP1"
"73621",0.92,"ITGB1BP1","PDCD10"
"73622",0.911,"PAK3","ROBO1"
"73623",0.995,"CDC42","PAK3"
"73624",0.914,"PAK3","ROBO2"
"73625",0.907,"GNG12","PAK3"
"73626",0.941,"NCK1","PAK3"
"73627",0.909,"PAK3","RAF1"
"73628",0.998,"ARHGEF7","PAK3"
"73629",0.988,"IRAK1","TLR9"
"73630",0.911,"BTK","TLR9"
"73631",0.982,"TLR9","TRAF6"
"73632",0.992,"TLR7","TLR9"
"73633",0.988,"TIRAP","TLR9"
"73634",0.979,"TLR4","TLR9"
"73635",0.999,"MYD88","TLR9"
"73636",0.969,"IRF7","TLR9"
"73637",0.943,"TICAM2","TLR9"
"73638",0.902,"DDX58","TLR9"
"73639",0.911,"CSNK1G3","PRKACB"
"73640",0.908,"CSNK1G3","PRKACG"
"73641",0.974,"FUT8","MAN2A2"
"73642",0.968,"B4GALT1","FUT8"
"73643",0.946,"B4GALT3","FUT8"
"73644",0.918,"FUT8","MGAT4D"
"73645",0.926,"GNB1","HTR4"
"73646",0.91,"GNAI1","HTR4"
"73647",0.94,"CD47","GYPA"
"73648",0.958,"EPB42","GYPA"
"73649",0.993,"GYPA","RHAG"
"73650",0.999,"GYPA","GYPB"
"73651",0.974,"TRPM6","TRPM7"
"73652",0.988,"AGPAT2","BSCL2"
"73653",0.996,"GTPBP4","RSL1D1"
"73654",0.968,"GTPBP4","RPL34"
"73655",0.996,"BOP1","GTPBP4"
"73656",0.986,"GTPBP4","RPL5"
"73657",0.974,"GTPBP4","SURF6"
"73658",0.983,"GTPBP4","NLE1"
"73659",0.974,"GTPBP4","RPL23"
"73660",0.944,"GTPBP4","RPL7L1"
"73661",0.999,"GTPBP4","MRTO4"
"73662",0.978,"GTPBP4","RPL7A"
"73663",0.979,"GTPBP4","RPL6"
"73664",0.973,"GTPBP4","RPL36"
"73665",0.987,"GTPBP4","RPL18"
"73666",0.975,"GTPBP4","RPL9"
"73667",0.999,"GTPBP4","NSA2"
"73668",0.947,"GTPBP4","RPL11"
"73669",0.963,"GTPBP4","RPL26"
"73670",0.981,"GTPBP4","RRP12"
"73671",0.922,"GTPBP4","RPL37A"
"73672",0.991,"GTPBP4","RPL23A"
"73673",0.963,"GTPBP4","RPL17"
"73674",0.95,"GTPBP4","RPL10A"
"73675",0.933,"GTPBP4","HEATR1"
"73676",0.998,"EIF6","GTPBP4"
"73677",0.927,"GTPBP4","TEX10"
"73678",0.99,"GTPBP4","PUM3"
"73679",0.964,"GTPBP4","RRP15"
"73680",0.941,"GTPBP4","NOP56"
"73681",0.95,"GTPBP4","RRP1"
"73682",0.997,"EBNA1BP2","GTPBP4"
"73683",0.999,"GNL2","GTPBP4"
"73684",0.98,"GTPBP4","RPL30"
"73685",0.911,"DDX27","GTPBP4"
"73686",0.995,"GTPBP4","ZNF593"
"73687",0.984,"GTPBP4","RPL14"
"73688",0.962,"GTPBP4","PWP1"
"73689",0.947,"GTPBP4","WDR18"
"73690",0.993,"GTPBP4","NOP2"
"73691",0.928,"GTPBP4","NOP14"
"73692",0.991,"GNL3L","GTPBP4"
"73693",0.969,"GTPBP4","RPL35A"
"73694",0.984,"GTPBP4","RPF1"
"73695",0.978,"GTPBP4","NSUN6"
"73696",0.99,"GTPBP4","RPL31"
"73697",0.947,"GTPBP4","WDR43"
"73698",0.981,"GTPBP4","LTV1"
"73699",0.992,"GNL3","GTPBP4"
"73700",0.999,"GTPBP4","RPF2"
"73701",0.994,"GTPBP4","WDR74"
"73702",0.947,"GTPBP4","WDR36"
"73703",0.969,"GTPBP4","RPL32"
"73704",0.951,"GTPBP4","RPLP0"
"73705",0.93,"GTPBP4","POLR1B"
"73706",0.977,"GTPBP4","RPL27"
"73707",0.998,"GTPBP4","NMD3"
"73708",0.943,"BMS1","GTPBP4"
"73709",0.928,"GTPBP4","PDCD11"
"73710",0.966,"GTPBP4","RPL13A"
"73711",0.967,"GTPBP4","RPL39"
"73712",0.994,"GTPBP4","NOC3L"
"73713",0.995,"FTSJ3","GTPBP4"
"73714",0.934,"GNL3L","NMD3"
"73715",0.929,"GNL3L","WDR74"
"73716",0.957,"GNL3L","NOC3L"
"73717",0.971,"FTSJ3","GNL3L"
"73718",0.936,"GNL3L","NOP2"
"73719",0.912,"GNL3L","ZNF593"
"73720",0.922,"GNL3","GNL3L"
"73721",0.977,"GNL3L","RPF2"
"73722",0.928,"GNL3L","NSUN6"
"73723",0.965,"GNL3L","RPF1"
"73724",0.912,"EIF6","GNL3L"
"73725",0.963,"DKC1","GNL3L"
"73726",0.963,"EBNA1BP2","GNL3L"
"73727",0.997,"GNL2","GNL3L"
"73728",0.953,"GNL3L","NLE1"
"73729",0.982,"GNL3L","RSL1D1"
"73730",0.981,"BOP1","GNL3L"
"73731",0.969,"GNL3L","NSA2"
"73732",0.983,"GNL3L","MRTO4"
"73733",0.949,"DNAJC5","VAMP2"
"73734",0.915,"DNAJC5","PPT1"
"73735",0.998,"DNAJC5","HSPA8"
"73736",0.914,"CLN3","DNAJC5"
"73737",0.981,"EIF3B","RPS25"
"73738",0.994,"EIF3B","RPS20"
"73739",0.981,"EIF3B","RPS15"
"73740",0.99,"EIF3B","RPS8"
"73741",0.995,"EIF3B","RPS6"
"73742",0.931,"EIF3B","RPS17"
"73743",0.937,"EIF3B","YTHDF1"
"73744",0.975,"EIF3B","RPS4X"
"73745",0.986,"EIF3B","RPS7"
"73746",0.981,"EIF3B","RPS28"
"73747",0.986,"EIF3B","RPS5"
"73748",0.989,"EIF3B","RPS19"
"73749",0.992,"EIF3B","RPSA"
"73750",0.999,"EIF3B","RACK1"
"73751",0.986,"EIF3B","RPS18"
"73752",0.988,"EIF3B","RPS16"
"73753",0.999,"EIF3B","EIF3L"
"73754",0.986,"EIF3B","RPS24"
"73755",0.987,"EIF3B","EIF4E"
"73756",0.999,"EIF3A","EIF3B"
"73757",0.976,"EIF3B","RPS10"
"73758",0.983,"EIF3B","G3BP1"
"73759",0.994,"EIF3B","FAU"
"73760",0.949,"EIF3B","EIF4B"
"73761",0.988,"EIF3B","RPS13"
"73762",0.968,"EIF3B","RPS14"
"73763",0.995,"EIF3B","EIF3CL"
"73764",0.999,"EIF3B","EIF3F"
"73765",0.994,"EIF3B","RPS9"
"73766",0.999,"EIF3B","EIF3M"
"73767",0.999,"EIF3B","EIF3H"
"73768",0.998,"EIF1","EIF3B"
"73769",0.981,"EIF1AX","EIF3B"
"73770",0.998,"EIF3B","EIF4G1"
"73771",0.999,"EIF3B","EIF3I"
"73772",0.965,"EIF3B","RPS29"
"73773",0.92,"EIF3B","SELENOP"
"73774",0.96,"EIF3B","RPS27"
"73775",0.998,"EIF2S2","EIF3B"
"73776",0.96,"EIF2A","EIF3B"
"73777",0.996,"CHUK","ERC1"
"73778",0.994,"ERC1","IKBKB"
"73779",0.993,"ERC1","UNC13B"
"73780",0.957,"ERC1","RIMS1"
"73781",0.985,"ERC1","PHLDB2"
"73782",0.999,"ERC1","IKBKG"
"73783",0.912,"HMGN1","ZNF219"
"73784",0.947,"GRB2","NTRK3"
"73785",0.999,"NTF4","NTRK3"
"73786",0.977,"NTRK3","SHC1"
"73787",0.912,"NTRK3","PLCG2"
"73788",0.905,"NTRK3","SH2B2"
"73789",0.922,"NTRK3","SHC3"
"73790",0.999,"BDNF","NTRK3"
"73791",0.998,"NGF","NTRK3"
"73792",0.999,"NTRK3","PTPRS"
"73793",0.999,"NTF3","NTRK3"
"73794",0.972,"GDNF","NTRK3"
"73795",0.915,"ABL1","NTRK3"
"73796",0.972,"ETV6","NTRK3"
"73797",0.925,"PPP1R13L","RELA"
"73798",0.986,"C11orf80","SPO11"
"73799",0.977,"NCK1","NCKAP1"
"73800",0.924,"NCKAP1","WAS"
"73801",0.999,"CYFIP2","NCKAP1"
"73802",0.999,"NCKAP1","WASF1"
"73803",0.999,"CYFIP1","NCKAP1"
"73804",0.999,"ABI1","NCKAP1"
"73805",0.999,"NCKAP1","WASF2"
"73806",0.999,"BRK1","NCKAP1"
"73807",0.922,"ARF1","NCKAP1"
"73808",0.908,"AFF1","CPZ"
"73809",0.999,"PRSS2","PRSS3"
"73810",0.925,"CTRB1","PNLIP"
"73811",0.969,"CTRB1","SERPINA3"
"73812",0.957,"CTRB1","SERPINA1"
"73813",0.932,"CPB1","CTRB1"
"73814",0.909,"CEL","CTRB1"
"73815",0.929,"HAO1","HAO2"
"73816",0.922,"HAO2","HOGA1"
"73817",0.992,"UBA3","UBE2F"
"73818",0.944,"CYP2E1","GSTM3"
"73819",0.959,"EPHX1","GSTM3"
"73820",0.927,"GSTM3","GSTZ1"
"73821",0.963,"GSTM3","GSTM4"
