"","score","protein1","protein2"
"417",0.979,"CD74","RPL32"
"418",0.942,"CD74","EIF1AY"
"419",0.974,"CD74","RPS27A"
"420",0.975,"CD74","HLA-DOB"
"421",0.98,"CD74","RPS3A"
"422",0.986,"CD74","HLA-DRB5"
"423",0.993,"CD74","CTSL"
"424",0.98,"CD74","RPS13"
"425",0.983,"CD74","RPS3"
"426",0.934,"CD74","RPL3L"
"427",0.993,"CD74","HLA-DPA1"
"428",0.909,"CD74","MRNIP"
"429",0.981,"CD74","RPS11"
"430",0.977,"CD74","RPL28"
"431",0.937,"CD74","RPS27"
"432",0.909,"CD74","DOCK4"
"433",0.908,"CD74","EIF5B"
"434",0.968,"CD74","MRPL9"
"435",0.937,"CD74","RPL3"
"436",0.978,"CD74","RPL31"
"437",0.947,"CD74","FLT3LG"
"438",0.975,"CD74","RPL37"
"439",0.951,"CD74","MRPL27"
"440",0.975,"CD74","RPL35A"
"441",0.969,"CD74","MRPL19"
"442",0.98,"CD74","RPS26"
"443",0.973,"CD74","RPL18A"
"444",0.934,"CD74","EIF1AX"
"445",0.945,"CD74","EEF2"
"446",0.999,"CD74","HLA-DRA"
"447",0.979,"CD74","RPL21"
"448",0.931,"CD74","RPL39L"
"449",0.981,"CD74","RPL14"
"450",0.965,"CD74","DDT"
"451",0.931,"CD74","FANCE"
"452",0.98,"CD74","RPS29"
"453",0.938,"CPA1","CPA2"
"454",0.933,"CPA1","CTRC"
"455",0.956,"CEL","CPA1"
"456",0.973,"CPA1","CTRB1"
"457",0.939,"CPA1","CTRB2"
"458",0.969,"CPA1","CPB1"
"459",0.922,"CPA1","CPA3"
"460",0.989,"CELA3A","CPA1"
"461",0.973,"CELA3B","CPA1"
"462",0.946,"CPA1","CTRL"
"463",0.996,"RANBP9","WDR26"
"464",0.91,"DDX4","RANBP9"
"465",0.99,"GID4","RANBP9"
"466",0.943,"MPHOSPH8","RANBP9"
"467",0.995,"GID8","RANBP9"
"468",0.949,"RANBP9","YPEL5"
"469",0.952,"MAEA","RANBP9"
"470",0.997,"RANBP10","RANBP9"
"471",0.997,"RANBP9","RMND5A"
"472",0.993,"ARMC8","RANBP9"
"473",0.998,"MKLN1","RANBP9"
"474",0.962,"L1CAM","RANBP9"
"475",0.999,"CD4","LCK"
"476",0.941,"CD4","HLA-DMB"
"477",0.93,"CD4","IL5"
"478",0.945,"CD4","PDCD1LG2"
"479",0.95,"CD4","SKP1"
"480",0.994,"CD4","ENPEP"
"481",0.945,"CD4","HLA-DRB5"
"482",0.996,"CD2","CD4"
"483",0.938,"CD4","HLA-DOB"
"484",0.94,"CD4","PRF1"
"485",0.977,"CD4","HLA-DPA1"
